축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉구 등축제,우이천,2015-09-11,2015-09-30,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,37.6617028,127.0382005,2018-05-01,3090000,서울특별시 도봉구
청원생명축제,오창미래지 테마공원,2018-10-05,2018-10-14,친환경 농축산물 축제,청원생명축제추진위,청주시,"농림축산식품부, 충청북도, 충청북도교육청",043-201-2092,http://bio.cheongju.go.kr,,충청북도 청주시 청원구 오창읍 미래지로 99,충청북도 청주시 청원구 오창읍 성산리 322-5,36.7330755,127.407385,2018-08-09,5710000,충청북도 청주시
세종대왕과 초정약수 축제,내수초정문화공원,2018-05-25,2018-05-27,초정약수 관련,청주문화원,청주시,,043-201-2042,해당없음,,충청북도 청주시 청원구 내수읍 초정약수로 853-11,충청북도 청주시 청원구 내수읍 초정리 64-2번지,36.721607,127.601269,2018-08-09,5710000,충청북도 청주시
홍길동축제,"홍길동테마파크,공설운동장",2017-04-22,2017-04-30,"공연,체험,전시행사 등",장성군축제위원회,전라남도 장성군,"전라남도,한국관광공사",061-390-7242,http://tour.jangseong.go.kr,"필암서원,축령산",전라남도 장성군 황룡면 홍길동로 431,전라남도 장성군 황룡면 아곡리 373,35.320062,126.727118,2018-05-14,4980000,전라남도 장성군
백양단풍축제,"백암산,백양사일원",2017-10-27,2017-10-29,"공연,체험,전시행사 등",장성군축제위원회,전라남도 장성군,"전라남도,한국관광공사",061-390-7242,http://tour.jangseong.go.kr,"장성호관광지, 백양사",전라남도 장성군 북하면 백양로 1236,전라남도 장성군 북하면 약수리 26,35.440252,126.883232,2018-05-14,4980000,전라남도 장성군
고로쇠축제,북하면 가인마을,2017-03-18,2017-03-19,"공연,체험,전시행사 등",고로쇠축제추진위원회,고로쇠축제추진위원회,,061-390-7242,http://tour.jangseong.go.kr,"장성호관광지, 백양사",전라남도 장성군 북하면 백양로 1236,전라남도 장성군 북하면 약수리 26,35.440252,126.883232,2018-05-14,4980000,전라남도 장성군
산소축제,축령산조림성공지 일원(모암리 소재),2017-09-16,2017-09-17,"공연,체험,전시행사 등",장성축령산편백산소축제추진위원회,장성축령산편백산소축제추진위원회,,061-390-7242,http://tour.jangseong.go.kr,"홍길동테마파크, 필암서원",전라남도 장성군 서삼면 모암길 153-95,전라남도 장성군 서삼면 모암리 679,35.372009,126.746613,2018-05-14,4980000,전라남도 장성군
단감축제,남면 자풍마을,2017-11-04,2017-11-04,"체험, 전시행사 등",비나리마을축제추진위원회,비나리마을축제추진위원회,,061-390-7242,http://tour.jangseong.go.kr,"단감시식, 판매, 수확체험",전라남도 장성군 남면 자풍길 20-3,전라남도 장성군 남면 덕성리 705,35.252498,126.771304,2018-05-14,4980000,전라남도 장성군
장성가을 노란꽃잔치,장성읍 황룡강 일원(공설운동장),2017-10-13,2017-10-29,"공연,체험,전시행사 등",장성군축제위원회,전라남도 장성군,,061-390-7380,http://tour.jangseong.go.kr,"황룡강, 옐로우시티",전라남도 장성군 장성읍 문화로 81,전라남도 장성군 장성읍 기산리 461-1,35.182511,126.463925,2018-05-14,4980000,전라남도 장성군
2020 예천세계곤충엑스포,예천공설운동장 및 곤충생태원 일원,2020-05-01,2020-05-17,"곤충주제관, 생명산업대전관, 곤충놀이관 등",예천세계곤충엑스포추진위원회,예천군,경상북도,054-650-6034,http://www.ycg.kr/open.content/tour/festivals/expo/,,경상북도 예천군 예천읍 충효로 395,경상북도 예천군 예천읍 동본리 186,36.658337,128.463487,2019-12-10,5230000,경상북도 예천군
부여서동연꽃축제,서동공원,2018-07-06,2018-07-15,"연꽃과 서동선화의 사랑이야기를 담은 각종 전시, 공연, 체험 등",부여서동연꽃축제추진위원회,부여군,"문화체육관광부,충청남도,한국관광공사,한국지역진흥재단",041-830-2211,www.부여서동연꽃축제.kr,,충청남도 부여군 부여읍 궁남로 52,충청남도 부여군 부여읍 동남리 117,36.27145891,126.9136908,2018-10-01,4570000,충청남도 부여군
백제문화제,정림사지 박물관 일원,2018-09-14,2018-09-22,사비 백제 역사를 담은 문화제,충청남도+부여군+공주시,(재)백제문화제추진위원회,한국관광공사,041-830-2211,http://www.baekje.org/html/kr/,,충청남도 부여군 부여읍 정림로 83,,36.27902473,126.9128811,2018-10-01,4570000,충청남도 부여군
달맞이축제,울릉문화예술체험장,2019-02-19,2019-02-19,"달집태우기, 풍물패공연, 소원소지 적기, 민속놀이 등",장흥달맞이놀이마당추진위원회,울릉군,-,,http://www.ulleung.go.kr/tour/,우리 전통문화를 선양하고 사라져가는 세시풍습을 재현하여 민속축제로 승화,경상북도 울릉군 울릉읍 도동2길 66,경상북도 울릉군 울릉읍 도동리 206-1,37.48430421,130.9056438,2019-09-30,5260000,경상북도 울릉군
울릉해변가요제,저동항,2019-08-02,2019-08-03,"군민가요제, 불꽃놀이",(사)울릉청년단,울릉군,-,054-791-4116,http://www.ulleung.go.kr/tour/,주민과 관광객들의 만남의 장으로 한여름밤의 낭만을 즐길 수 있는 행사,경상북도 울릉군 울릉읍 도동2길 66,경상북도 울릉군 울릉읍 도동리 206-1,37.48430421,130.9056438,2019-09-30,5260000,경상북도 울릉군
오징어축제,저동항(울릉군전역),2019-08-05,2019-08-07,"오징어 맨손잡기, 수중 보물찾기, 바다 미꾸라지잡기, 해변몽돌쌓기, 오징어 요리경연 등",오징어축제추진위원회,울릉군,"경상북도, 관내 기관 및 사회단체",054-790-6425,http://www.ulleung.go.kr/tour/,"울릉도의 비경을 배경으로 푸른 동해 바다에서 오징어를 잡아보고,오징어 건조과정을 체험하면서 각종 오징어요리를 즐길 수 있는 행사",경상북도 울릉군 울릉읍 도동2길 66,경상북도 울릉군 울릉읍 도동리 206-1,37.48430421,130.9056438,2019-09-30,5260000,경상북도 울릉군
우산문화제,도동항,2020-09-17,2020-09-18,"개막축하행사전통민속놀이, 체험행사 등",울릉문화원,울릉군,-,054-791-0245,http://www.ulleungu.co.kr,울릉도 개척 정신을 기리고 울릉이 문화의 고장임을 널리 소개,,경상북도 울릉군 울릉읍 도동리 169,37.48343755,130.9020734,2019-09-30,5260000,경상북도 울릉군
제37회 고성군민의 날 및 수성문화제,고성종합운동장외 부대시설,2019-09-23,2019-09-25,"수성제례, 군민의 날 행사 등",고성문화원,고성군수성문화제위원회,"고성군, 고성군의회, 고성경찰서, 강원도고성교육지원청, 고성소방서, 22사단 및 예하 부대, 관내 기관, 단체, 학교",,,,강원도 고성군 간성읍 수성로 87,,38.375898,128.4649304,2019-09-17,4340000,강원도 고성군
제21회 고성통일명태축제,강원도 고성군 거진읍 거진11리 해변,2019-10-17,2019-10-20,고성통일명태와 떠나는 평화 여행,고성통일명태축제위원회,고성통일명태축제위원회,고성군,033-682-8008,http://myeongtae.com,명태축제,강원도 고성군 거진읍 해오름해변길 125,강원도 고성군 거진읍 거진리 340-28,38.43974397,128.4541653,2019-09-17,4340000,강원도 고성군
욕지 섬 문화축제,욕지면 동항(불곡)물량장 일원,2019-10-11,2019-10-12,"욕지고구마축제, 고등어축제, 생활낚시체험 등",욕지개척기념사업위원회,"통영시, 욕지면",욕지면 전 기관.단체,055-650-3580,,"연화도용머리, 출렁다리, 노대군도",경상남도 통영시 욕지면 욕지일주로 77,경상남도 통영시 욕지면 동항리 547-35,34.63336365,128.2650885,2019-11-26,5330000,경상남도 통영시
사량도 옥녀봉 축제,사량면 진촌물량장 일원,2019-10-25,2019-10-26,"길놀이, 안전기원제, 어선퍼레이드, 개회식, 특별공연, 면민장기자랑, 경품추첨",사량면주민자치위원회,"통영시, 사량면",사량면 전 기관.단체,055-650-3620,,,경상남도 통영시 사량면 상도일주로 1580-13,경상남도 통영시 사량면 금평리 123-1,34.84549681,128.2197953,2019-11-26,5330000,경상남도 통영시
한산도 바다체험축제,한산면 추봉리 봉암마을,2019-06-15,2019-06-16,"식전행사, 개막식, 맨손고기잡기, 바다보물찾기, 바지락캐기, 오션가약, 수상자전거, 대나무낚시체험, 후리그물고기잡이, 요트체험 등 각종 부대행사",한산면주민자치위원회,"통영시, 한산면",한산면 전 기관.단체,055-650-3600,,,,경상남도 통영시 한산면 추봉리 911-4,34.75930638,128.5100671,2019-11-26,5330000,경상남도 통영시
통영한산대첩축제,"도남관광단지, 한산앞바다 등 통영시 일원",2019-08-10,2019-08-14,"이순신장군 행렬 및 군점, 한산대첩 재현, 이순신 워터파크, 드론 라이트쇼",(재)한산대첩기념사업회,통영시,"문화체육관광부, 경상남도, 한국관광공사, 해군본부",055-644-5222,http://www.hansanf.org,,,경상남도 통영시 도남동 642-4,34.82567453,128.4334058,2019-11-26,5330000,경상남도 통영시
태화강 연등축제,울산 태화강 둔치,2019-05-11,2019-05-13,연등축제,태화강 연등축제조직 위원,울산광역시 불교종단연합회,,052-266-3318,http://www.ubcf.net,"봉축점등식과 이웃종교합창제, 행복바라미행사, 불꽃놀이를 시작으로둘째날 봉축법요식과 부처님이운행렬, 시민축하공연",,울산광역시 남구 무거동 1,35.5506625,129.3257957,2019-10-31,3700000,울산광역시 남구
울산대공원 장미축제,울산대공원,2019-05-22,2019-05-26,장미축제,"울산광역시청, (주)SK에너지","울산광역시청, (주)SK에너지",,052-229-3342,http://ulsanrosefestival.com/,"개막식, 공연행사, 체험전시, 행사 레이져 쇼, 뮤직박스 운영 등",울산광역시 남구 대공원로 94,울산광역시 남구 옥동 146-1,35.530972,129.2939697,2019-10-31,3700000,울산광역시 남구
울산고래축제,울산광역시 남구 장생포 일원,2019-06-07,2019-06-09,고래축제,고래문화재단,울산광역시 남구청,,052-226-1991,http://www.ulsanwhale.com,"선사고래잡이재현, 체험행사, 고래바다여행선체험 등",울산광역시 남구 장생포고래로 288번길 20,울산광역시 남구 매암동 139-26,35.50439928,129.387293,2019-10-31,3700000,울산광역시 남구
처용문화제,달동 문화공원,2019-10-18,2019-10-20,처용축제,울산광역시청,울산광역시청,,052-259-7916,,처용맞이,울산광역시 남구 번영로 200,울산광역시 남구 달동 413-13,35.54289852,129.327076,2019-10-31,3700000,울산광역시 남구
선암호수 불꽃축제,선암호수공원,2019-11-09,2019-11-09,불꽃축제,경상일보,울산광역시 남구청,,052-226-5415,,불꽃축제 및 1인 미디어 콘텐츠 공모전,,울산광역시 남구 선암동 490-2,35.516881,129.325438,2019-10-31,3700000,울산광역시 남구
정서진 해넘이 축제,인천 서구 정서진,2018-12-31,2018-12-31,"일몰이벤트, 축하공연",인천광역시 서구문화원,인천광역시 서구,,032-560-5933,http://www.seo.incheon.kr/,,인천광역시 서구 정서진1로 41,인천광역시 서구 오류동 1563,37.55843765,126.6074637,2019-12-03,3560000,인천광역시 서구
2019 정읍벚꽃축제,정읍천변 일원,2019-03-30,2019-04-07,"개막식,프로그램,부대행사",정읍시,정읍시,,063-539-5233,,,전라북도 정읍시 벚꽃로 401,전라북도 정읍시 시기동 407-3,35.561248,126.8557305,2019-09-30,4690000,전라북도 정읍시
정읍드론페스티벌,내장산문화광장,2019-05-04,2019-05-05,"개막식,드론경진대회, 전시 및 체험",정읍시,정읍시,,063-539-5233,,,전라북도 정읍시 내장산로 390,전라북도 정읍시 부전동 1004,35.5255969,126.8961462,2019-09-30,4690000,전라북도 정읍시
내장산캠핑대회,내장산문화광장,2019-05-17,2019-05-19,"음악회(개막식),캠핑카 및 용품전시, 체험 등",정읍시,정읍시,,063-539-5233,,,전라북도 정읍시 내장산로 390,전라북도 정읍시 부전동 1004,35.5255969,126.8961462,2019-09-30,4690000,전라북도 정읍시
제14회 정읍 평생학습축제 및 제6회 주민자치 프로그램 발표회,정읍 연지아트홀,2019-10-19,2019-10-20,"개막식, 무대발표회, 시민특강, 홍보체험부스, 이벤트 등",정읍시,정읍시,해당없음,063-539-5162,http://www.jeongeup.go.kr,,전라북도 정읍시 중앙로 73,전라북도 정읍시 연지동 39-6,35.57039929,126.8489005,2019-09-30,4690000,전라북도 정읍시
제30회 정읍사문화제,정읍사문화공원 일원,2019-09-28,2019-09-29,"기념행사, 공연행사, 부대행사, 체험행사 등",(사)정읍사문화제 제전위원회,정읍시,,063-539-5173,http://www.jchf.or.kr,,전라북도 정읍시 정읍사로 541,전라북도 정읍시 시기동 81-7,35.55073015,126.8615763,2019-09-30,4690000,전라북도 정읍시
제14회 정읍 구절초꽃축제,정읍 구절초 테마공원,2019-10-05,2019-10-20,"구절초 꽃길산책, 꽃밭음악회 등",정읍시구절초축제추진위원회,정읍시,전라북도+한국수자원공사,063-539-6172,http://www.jeongeup.go.kr/culture,,전라북도 정읍시 산내면 청정로 926-65,전라북도 정읍시 산내면 매죽리 617,35.55427272,127.0188952,2019-09-30,4690000,전라북도 정읍시
제52회 황토현동학농민혁명기념제,황토현 전적지 일원,2019-05-11,2019-05-12,"기념식, 공식제례, 청소년 축전, 연계행사, 체험행사 등",(사)동학농민혁명계승사업회,정읍시,,063-539-5432,http://www.donghak.or.kr,,전라북도 정읍시 덕천면 동학로 742,전라북도 정읍시 덕천면 하학리 산35,35.63130705,126.8313917,2019-09-30,4690000,전라북도 정읍시
의정부가족문화대축제,시청앞 도로 및 잔디광장(소방서옆),2019-05-04,2019-05-04,"개막식, 어린이날 표창, 공연마당, 게임마당, 체험마당 등",의정부문화원,경기도 의정부시청,,031-828-4242,,,경기도 의정부시 시민로 1,경기도 의정부시 의정부2동 323,37.738089,127.0338356,2019-07-01,3820000,경기도 의정부시
2019 하하페스티벌,시청앞 도로 및 잔디광장(소방서옆),2019-05-26,2019-05-26,"세계인의 날 기념식, 국가별 문화소개부스, 체험마당, 먹거리마당 등",의정부외국인노동자지원센터,경기도 의정부시청,,031-828-4243,,,경기도 의정부시 시민로 12,경기도 의정부시 의정부동 489,37.737579,127.036375,2019-07-01,3820000,경기도 의정부시
제9회 의정부시장기대축전 개회식,의정부체육관,2019-03-31,2019-03-31,각 종목별 대회 시작을 기념하는 대축전 개회식,의정부시체육회,의정부시체육회,,031-850-5755,,,경기도 의정부시 체육로 90(녹양동),경기도 의정부시 녹양동 173,37.76001299,127.0279671,2019-07-01,3820000,경기도 의정부시
2019년 한마음 건강걷기대회,중랑천 동막교 ~ 호원동 건영아파트,2019-04-13,2019-04-13,"건강걷기대회 행사, 홍보부스 등 운영",의정부시체육회/경기일보,의정부시체육회,,031-850-5755,,,경기도 의정부시 동막교~ 호원동 건영아파트,경기도 의정부시 동막교~ 호원동 건영아파트,37.726824,127.052208,2019-07-01,3820000,경기도 의정부시
제7회 어울림 등반대회,의정부시 직동근린공원 소풍길 일원,2019-04-27,2019-04-27,장애인들과 함께 하는 등반 행사,의정부시장애인체육회,의정부시장애인체육회,,031-850-5757,,,경기도 의정부시 직동근린공원 소풍길 일원,경기도 의정부시 의정부동 326-26,37.739235,127.032021,2019-07-01,3820000,경기도 의정부시
제26회 의정부시 단오제 씨름왕 선발대회,시청 앞 상설야외무대,2019-05-25,2019-05-25,"각 동별 단체전 및 개인전 씨름대회, 제기차기 행사",의정부시체육회,의정부시씨름협회,,031-850-5755,,,경기도 의정부시 의정로80번길 18,경기도 의정부시 의정부동 477-1,37.7396594,127.035815,2019-07-01,3820000,경기도 의정부시
제6회 의정부시장배 장애인생활체육대회,의정부체육관,2019-09-19,2019-09-19,후크볼 등 장애인생활체육대회를 알리는 개회식,의정부시장애인체육회,의정부시장애인체육회,,031-850-5757,,,경기도 의정부시 체육로 90(녹양동),경기도 의정부시 녹양동 173,37.76001299,127.0279671,2019-07-01,3820000,경기도 의정부시
스타와 함께하는 농구 자선경기,의정부체육관,2019-09-29,2019-09-29,한기범선수 및 스타들의 농구 자선경기,(사)한기범 희망나눔,(사)한기범 희망나눔,,02-3391-7091,,,경기도 의정부시 체육로 90(녹양동),경기도 의정부시 녹양동 173,37.76001299,127.0279671,2019-07-01,3820000,경기도 의정부시
제13회 전국 어울림 마라톤대회,의정부시장애인종합복지관 일원,2019-10-05,2019-10-05,장애인과 비장애인이 함께 하는 전국 마라톤대회,의정부시장애인체육회,의정부장애인종합복지관,,031-850-5755,,,경기도 의정부시 용민로 160(민락동),경기도 의정부시 민락동 735-17,37.74379518,127.0923061,2019-07-01,3820000,경기도 의정부시
안중근정신 찾기 자전거 대행진,역전근린공원 일원,2019-10-26,2019-10-26,안중근을 기리기 위한 시민 자전거 대행진,안중근평화재단 청년아카데미,의정부시,,031-828-4373,,,경기도 의정부시 평화로493번길 48,경기도 의정부시 의정부동 161-13,37.73769519,127.0474449,2019-07-01,3820000,경기도 의정부시
2019 의정부과학축제,의정부과학도서관,2019-05-25,2019-05-25,"2019년 5월중 개최, 과학축제",경기도 의정부시 도서관정책과,경기도 의정부시 도서관정책과,,031-828-8669,http://www.uilib.go.kr,,경기도 의정부시 추동로124번길 52(신곡동),경기도 의정부시 신곡동 124-1,37.74473004,127.069134,2019-07-01,3820000,경기도 의정부시
천상병예술제,의정부예술의전당일원,2019-04-20,2019-04-28,고 천상병시인을 기리는 다양한 행사,의정부예술의전당,의정부예술의전당,,031-828-5839,,,경기도 의정부시 의정로 1,경기도 의정부시 의정부2동 323,37.73338595,127.0341284,2019-07-01,3820000,경기도 의정부시
의정부음악극축제,의정부예술의전당일원,2019-05-10,2019-05-19,"음악극 공연, 체험 및 전시행사",의정부예술의전당,의정부예술의전당,,031-828-5895,http://www.uac.or.kr,,경기도 의정부시 의정로 1,경기도 의정부시 의정부2동 323,37.73338595,127.0341284,2019-07-01,3820000,경기도 의정부시
의정부 국제가야금축제,의정부예술의전당,2019-10-04,2019-10-05,가야금문화 전승 및 경연대회,의정부예술의전당,의정부예술의전당,,031-828-5832,http://www.uac.or.kr,,경기도 의정부시 의정로 1,경기도 의정부시 의정부2동 323,37.73338595,127.0341284,2019-07-01,3820000,경기도 의정부시
블랙뮤직페스티벌,의정부예술의전당야외무대,2019-08-29,2019-08-31,힙합장르를 중심으로 하는 의정부 대표 뮤직 페스티벌,의정부예술의전당,의정부예술의전당,,031-828-5841,http://www.uac.or.kr,,경기도 의정부시 의정로 1,경기도 의정부시 의정부2동 323,37.73338595,127.0341284,2019-07-01,3820000,경기도 의정부시
의정부 국제가야금축제,의정부예술의전당,2019-09-01,2019-10-31,"2019년 9~10월 중 개최, 가야금문화 전승 및 경연대회",(사)죽파류 가야금산조보존회,의정부예술의전당,,031-828-5832,http://www.uac.or.kr,,경기도 의정부시 의정로 1,경기도 의정부시 의정부2동 323,37.73338595,127.0341284,2019-07-01,3820000,경기도 의정부시
제8회의성세계연축제,안계면 위천생태하천,2019-05-04,2019-05-06,연축제,의성세계연축제집행위원회,의성군축제추진위원회,의성군,054-830-6096,http://tour.usc.go.kr,,,경상북도 의성군 안계면 용기리 620-5,36.36933577,128.4330374,2019-05-22,5150000,경상북도 의성군
제10회의성봉양자두홍보및체험행사,봉양종합체육공원,2019-07-13,2019-07-13,봉양자두홍보,자두체험행사추진위원회,자두체험행사추진위원회,의성군,054-830-5195,http://tour.usc.go.kr,,경상북도 의성군 봉양면 도리원4길 34,경상북도 의성군 봉양면 화전리 63,36.30337648,128.5824608,2019-05-22,5150000,경상북도 의성군
